frame_index,seq,header_stamp
0,19287,465.989267000
1,19288,466.006755000
2,19289,466.021347000
3,19290,466.038608000
4,19291,466.055925000
5,19292,466.073464000
6,19293,466.089046000
7,19294,466.105311000
8,19295,466.122220000
9,19296,466.140096000
10,19297,466.156033000
11,19298,466.171464000
12,19299,466.189260000
13,19300,466.206955000
14,19301,466.221461000
15,19302,466.238828000
16,19303,466.255870000
17,19304,466.273346000
18,19305,466.287889000
19,19306,466.305148000
20,19307,466.322572000
21,19308,466.340065000
22,19309,466.355524000
23,19310,466.371883000
24,19311,466.388958000
25,19312,466.406539000
26,19313,466.422328000
27,19314,466.437957000
28,19315,466.455686000
29,19316,466.473492000
30,19317,466.487990000
31,19318,466.505073000
32,19319,466.522268000
33,19320,466.540039000
34,19321,466.554561000
35,19322,466.571768000
36,19323,466.588660000
37,19324,466.605765000
38,19325,466.621265000
39,19326,466.638556000
40,19327,466.655549000
41,19328,466.673112000
42,19329,466.688912000
43,19330,466.704424000
44,19331,466.722139000
45,19332,466.739823000
46,19333,466.754294000
47,19334,466.771446000
48,19335,466.788789000
49,19336,466.806486000
50,19337,466.820914000
51,19338,466.838156000
52,19339,466.855175000
53,19340,466.872356000
54,19341,466.887996000
55,19342,466.905145000
56,19343,466.921973000
57,19344,466.940072000
58,19345,466.954333000
59,19346,466.971910000
60,19347,466.987458000
61,19348,467.004885000
62,19349,467.020874000
63,19350,467.038064000
64,19351,467.054262000
65,19352,467.071527000
66,19353,467.088387000
67,19354,467.104622000
68,19355,467.121737000
69,19356,467.138755000
70,19357,467.155300000
71,19358,467.170696000
72,19359,467.188494000
73,19360,467.205703000
74,19361,467.222118000
75,19362,467.237397000
76,19363,467.254154000
77,19364,467.271219000
78,19365,467.287529000
79,19366,467.304805000
80,19367,467.320829000
81,19368,467.338068000
82,19369,467.354320000
83,19370,467.371452000
84,19371,467.387337000
85,19372,467.404775000
86,19373,467.421917000
87,19374,467.437183000
88,19375,467.455166000
89,19376,467.472366000
90,19377,467.489103000
91,19378,467.503961000
92,19379,467.520736000
93,19380,467.537778000
94,19381,467.554238000
95,19382,467.571083000
96,19383,467.587526000
97,19384,467.604667000
98,19385,467.620962000
99,19386,467.637271000
100,19387,467.654352000
101,19388,467.671959000
102,19389,467.687498000
