frame_index,seq,header_stamp
0,29733,649.938665000
1,29734,649.955393000
2,29735,649.971932000
3,29736,649.988881000
4,29737,650.005087000
5,29738,650.022624000
6,29739,650.038689000
7,29740,650.055203000
8,29741,650.072062000
9,29742,650.088760000
10,29743,650.105460000
11,29744,650.122499000
12,29745,650.138537000
13,29746,650.154679000
14,29747,650.171897000
15,29748,650.188467000
16,29749,650.205454000
17,29750,650.222234000
18,29751,650.238705000
19,29752,650.255638000
20,29753,650.271639000
21,29754,650.288388000
22,29755,650.305617000
23,29756,650.321546000
24,29757,650.338540000
25,29758,650.355239000
26,29759,650.371671000
27,29760,650.388778000
28,29761,650.405050000
29,29762,650.422408000
30,29763,650.438526000
31,29764,650.455194000
32,29765,650.471831000
33,29766,650.488618000
34,29767,650.505185000
35,29768,650.521485000
36,29769,650.538580000
37,29770,650.554378000
38,29771,650.571747000
39,29772,650.588487000
40,29773,650.605171000
41,29774,650.622164000
42,29775,650.638242000
43,29776,650.654271000
44,29777,650.671589000
45,29778,650.688120000
46,29779,650.705205000
47,29780,650.721881000
48,29781,650.738383000
49,29782,650.755153000
50,29783,650.771607000
51,29784,650.787603000
52,29785,650.805129000
53,29786,650.821887000
54,29787,650.838435000
55,29788,650.855255000
56,29789,650.871492000
57,29790,650.888561000
58,29791,650.904803000
59,29792,650.922124000
60,29793,650.938059000
61,29794,650.954744000
62,29795,650.971752000
63,29796,650.988427000
64,29797,651.004637000
65,29798,651.020862000
66,29799,651.038441000
67,29800,651.054165000
68,29801,651.071392000
69,29802,651.089270000
70,29803,651.105135000
71,29804,651.121864000
72,29805,651.138056000
73,29806,651.155241000
74,29807,651.171502000
75,29808,651.188147000
76,29809,651.205012000
77,29810,651.221900000
78,29811,651.238285000
79,29812,651.255138000
80,29813,651.271586000
81,29814,651.288629000
82,29815,651.304669000
83,29816,651.321614000
84,29817,651.338212000
85,29818,651.354781000
86,29819,651.371677000
87,29820,651.388410000
88,29821,651.404854000
89,29822,651.421063000
90,29823,651.438117000
91,29824,651.453996000
92,29825,651.471411000
93,29826,651.488015000
94,29827,651.505195000
95,29828,651.521829000
96,29829,651.538158000
97,29830,651.554444000
98,29831,651.571427000
99,29832,651.587286000
100,29833,651.604959000
101,29834,651.621607000
102,29835,651.638263000
103,29836,651.654998000
104,29837,651.671495000
105,29838,651.687369000
106,29839,651.705025000
107,29840,651.720560000
108,29841,651.738240000
109,29842,651.754817000
110,29843,651.771585000
111,29844,651.787705000
112,29845,651.804762000
113,29846,651.820871000
114,29847,651.837988000
115,29848,651.853959000
116,29849,651.871606000
117,29850,651.888148000
118,29851,651.905101000
119,29852,651.920990000
120,29853,651.938085000
121,29854,651.954067000
122,29855,651.971366000
123,29856,651.987322000
